province,date,tempMax,tempMin,tempAvg,precipitation,humidity,source,year,month,day
"bangkok","2020-01-01",33.60,24.60,29.10,0.00,68.35,"open-meteo",2020,01,01
"bangkok","2020-01-02",33.30,23.80,28.55,0.00,69.18,"open-meteo",2020,01,02
"bangkok","2020-01-03",33.70,23.40,28.55,0.00,69.17,"open-meteo",2020,01,03
"bangkok","2020-01-04",33.50,23.40,28.45,0.00,69.33,"open-meteo",2020,01,04
"bangkok","2020-01-05",34.10,23.50,28.80,0.00,68.80,"open-meteo",2020,01,05
"bangkok","2020-01-06",34.00,23.50,28.75,0.00,68.88,"open-meteo",2020,01,06
"bangkok","2020-01-07",34.70,23.20,28.95,0.00,68.57,"open-meteo",2020,01,07
"bangkok","2020-01-08",34.40,24.00,29.20,0.10,68.50,"open-meteo",2020,01,08
"bangkok","2020-01-09",34.20,24.70,29.45,0.00,67.82,"open-meteo",2020,01,09
"bangkok","2020-01-10",35.00,25.80,30.40,0.10,66.70,"open-meteo",2020,01,10
"bangkok","2020-01-11",34.00,26.80,30.40,1.20,70.00,"open-meteo",2020,01,11
"bangkok","2020-01-12",33.00,25.20,29.10,0.40,69.55,"open-meteo",2020,01,12
"bangkok","2020-01-13",32.00,24.20,28.10,2.30,76.75,"open-meteo",2020,01,13
"bangkok","2020-01-14",32.20,25.10,28.65,0.40,70.22,"open-meteo",2020,01,14
"bangkok","2020-01-15",30.80,24.60,27.70,0.80,72.85,"open-meteo",2020,01,15
"bangkok","2020-01-16",33.00,25.00,29.00,0.20,69.10,"open-meteo",2020,01,16
"bangkok","2020-01-17",33.10,25.30,29.20,0.00,68.20,"open-meteo",2020,01,17
"bangkok","2020-01-18",32.00,25.90,28.95,0.10,68.88,"open-meteo",2020,01,18
"bangkok","2020-01-19",32.00,25.50,28.75,1.00,71.88,"open-meteo",2020,01,19
"bangkok","2020-01-20",32.70,25.50,29.10,1.00,71.35,"open-meteo",2020,01,20
"bangkok","2020-01-21",32.30,25.20,28.75,0.70,70.97,"open-meteo",2020,01,21
"bangkok","2020-01-22",33.70,24.80,29.25,0.20,68.72,"open-meteo",2020,01,22
"bangkok","2020-01-23",33.20,25.70,29.45,0.80,70.22,"open-meteo",2020,01,23
"bangkok","2020-01-24",33.10,25.90,29.50,0.00,67.75,"open-meteo",2020,01,24
"bangkok","2020-01-25",32.30,26.20,29.25,0.20,68.72,"open-meteo",2020,01,25
"bangkok","2020-01-26",33.20,25.40,29.30,0.00,68.05,"open-meteo",2020,01,26
"bangkok","2020-01-27",33.10,23.10,28.10,0.20,70.45,"open-meteo",2020,01,27
"bangkok","2020-01-28",32.60,20.60,26.60,0.00,72.10,"open-meteo",2020,01,28
"bangkok","2020-01-29",33.50,22.90,28.20,0.00,69.70,"open-meteo",2020,01,29
"bangkok","2020-01-30",32.30,23.30,27.80,0.50,71.80,"open-meteo",2020,01,30
"bangkok","2020-01-31",32.50,22.90,27.70,0.00,70.45,"open-meteo",2020,01,31
"bangkok","2020-02-01",33.50,22.20,27.85,0.00,70.22,"open-meteo",2020,02,01
"bangkok","2020-02-02",32.70,22.50,27.60,0.00,70.60,"open-meteo",2020,02,02
"bangkok","2020-02-03",32.00,24.50,28.25,0.20,70.22,"open-meteo",2020,02,03
"bangkok","2020-02-04",31.60,25.00,28.30,0.70,71.65,"open-meteo",2020,02,04
"bangkok","2020-02-05",31.60,25.40,28.50,0.40,70.45,"open-meteo",2020,02,05
