province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"bangkok","2020-01",28.81,0.33,69.77,98,2020,01
"bangkok","2020-02",28.78,0.41,69.89,98,2020,02
"bangkok","2020-03",30.42,0.51,67.63,91,2020,03
"bangkok","2020-04",30.39,2.25,70.33,90,2020,04
"bangkok","2020-05",31.17,1.72,70.14,86,2020,05
"bangkok","2020-06",29.38,4.94,76.93,88,2020,06
"bangkok","2020-07",29.01,4.63,77.42,89,2020,07
"bangkok","2020-08",28.73,5.18,78.79,87,2020,08
"bangkok","2020-09",28.39,8.41,80.36,85,2020,09
"bangkok","2020-10",26.38,15.36,82.48,83,2020,10
"bangkok","2020-11",27.16,1.70,74.22,95,2020,11
"bangkok","2020-12",26.50,0.46,73.64,98,2020,12
"bangkok","2021-01",25.19,0.07,74.43,99,2021,01
"bangkok","2021-02",27.44,0.94,72.14,98,2021,02
"bangkok","2021-03",29.61,1.14,69.86,94,2021,03
"bangkok","2021-04",28.73,5.48,79.41,86,2021,04
"bangkok","2021-05",29.79,3.49,73.49,87,2021,05
"bangkok","2021-06",30.23,3.26,73.99,86,2021,06
"bangkok","2021-07",28.68,8.39,80.38,83,2021,07
"bangkok","2021-08",28.34,6.97,81.32,85,2021,08
"bangkok","2021-09",27.40,11.20,82.94,82,2021,09
"bangkok","2021-10",27.38,9.33,80.20,86,2021,10
"bangkok","2021-11",27.14,4.06,78.25,90,2021,11
"bangkok","2021-12",25.88,0.31,73.90,99,2021,12
"bangkok","2022-01",27.25,1.14,71.94,98,2022,01
"bangkok","2022-02",27.10,3.59,77.26,93,2022,02
"bangkok","2022-03",28.78,3.61,75.46,91,2022,03
"bangkok","2022-04",29.21,2.84,72.52,91,2022,04
"bangkok","2022-05",27.93,8.30,81.72,83,2022,05
"bangkok","2022-06",29.31,4.73,76.04,88,2022,06
"bangkok","2022-07",28.51,6.75,80.20,86,2022,07
"bangkok","2022-08",27.81,9.38,80.67,84,2022,08
"bangkok","2022-09",27.37,14.50,84.79,78,2022,09
"bangkok","2022-10",26.83,7.04,78.90,88,2022,10
"bangkok","2022-11",27.67,4.25,77.43,91,2022,11
"bangkok","2022-12",25.65,0.35,74.40,98,2022,12
"bangkok","2023-01",26.00,0.34,73.89,99,2023,01
"bangkok","2023-02",27.65,2.23,72.43,97,2023,02
"bangkok","2023-03",29.20,0.59,69.88,95,2023,03
"bangkok","2023-04",31.39,3.17,69.63,86,2023,04
"bangkok","2023-05",31.23,3.30,71.28,85,2023,05
"bangkok","2023-06",29.24,7.06,78.78,83,2023,06
"bangkok","2023-07",29.00,8.35,78.97,85,2023,07
"bangkok","2023-08",29.11,8.21,81.20,81,2023,08
"bangkok","2023-09",28.43,12.14,82.64,79,2023,09
"bangkok","2023-10",28.08,7.96,81.02,84,2023,10
"bangkok","2023-11",27.14,2.11,75.55,95,2023,11
"bangkok","2023-12",27.32,1.06,73.48,97,2023,12
"bangkok","2024-01",28.05,0.44,70.78,98,2024,01
"bangkok","2024-02",29.37,0.69,69.88,96,2024,02
"bangkok","2024-03",29.97,2.15,70.88,90,2024,03
"bangkok","2024-04",32.47,0.18,63.82,92,2024,04
"bangkok","2024-05",30.62,8.70,74.59,80,2024,05
"bangkok","2024-06",29.39,5.96,78.16,86,2024,06
"bangkok","2024-07",28.20,10.71,82.64,81,2024,07
"bangkok","2024-08",28.97,5.24,78.61,86,2024,08
"bangkok","2024-09",28.45,9.80,82.58,83,2024,09
"bangkok","2024-10",28.13,7.06,78.46,88,2024,10
"bangkok","2024-11",28.60,2.21,72.00,95,2024,11
"bangkok","2024-12",28.52,0.31,70.06,96,2024,12
"bangkok","2025-01",27.48,0.01,70.80,100,2025,01
"bangkok","2025-02",29.14,2.10,71.87,94,2025,02
"bangkok","2025-03",30.81,1.99,69.17,88,2025,03
"bangkok","2025-04",30.73,2.92,72.30,84,2025,04
"bangkok","2025-05",29.07,8.29,79.66,83,2025,05
"bangkok","2025-06",28.90,6.15,79.79,85,2025,06
"bangkok","2025-07",28.32,7.00,81.33,86,2025,07
"bangkok","2025-08",28.72,5.93,77.72,87,2025,08
"bangkok","2025-09",27.99,8.78,82.42,83,2025,09
"bangkok","2025-10",28.27,6.12,78.43,87,2025,10
"bangkok","2025-11",26.47,5.41,77.55,91,2025,11
"rayong","2020-01",27.53,0.74,72.93,96,2020,01
"rayong","2020-02",27.60,0.80,72.35,97,2020,02
"rayong","2020-03",28.73,0.71,71.02,98,2020,03
"rayong","2020-04",28.97,3.62,74.65,92,2020,04
"rayong","2020-05",29.78,3.47,74.57,87,2020,05
"rayong","2020-06",28.11,8.20,81.16,85,2020,06
"rayong","2020-07",28.01,4.90,80.31,87,2020,07
"rayong","2020-08",28.03,5.99,78.34,89,2020,08
"rayong","2020-09",27.58,8.79,82.83,83,2020,09
"rayong","2020-10",26.38,9.38,81.29,85,2020,10
"rayong","2020-11",27.53,1.63,74.29,94,2020,11
"rayong","2020-12",26.67,0.70,73.99,97,2020,12
"rayong","2021-01",25.48,0.21,74.40,98,2021,01
"rayong","2021-02",26.53,1.15,74.25,97,2021,02
"rayong","2021-03",28.05,2.18,73.53,95,2021,03
"rayong","2021-04",28.01,5.17,80.07,87,2021,04
"rayong","2021-05",28.68,4.45,77.09,90,2021,05
"rayong","2021-06",28.81,3.17,75.84,91,2021,06
"rayong","2021-07",28.05,8.57,81.00,82,2021,07
"rayong","2021-08",27.74,7.82,81.63,84,2021,08
"rayong","2021-09",26.91,11.21,82.60,82,2021,09
"rayong","2021-10",27.13,9.57,80.81,84,2021,10
"rayong","2021-11",27.02,5.57,79.04,90,2021,11
"rayong","2021-12",26.43,0.39,73.53,98,2021,12
"rayong","2022-01",26.79,0.96,73.28,97,2022,01
"rayong","2022-02",26.96,3.61,78.42,91,2022,02
"rayong","2022-03",27.98,4.69,78.46,88,2022,03
"rayong","2022-04",28.47,3.01,75.97,92,2022,04
"rayong","2022-05",27.79,7.19,80.88,87,2022,05
"rayong","2022-06",28.25,4.87,78.72,88,2022,06
"rayong","2022-07",27.77,9.02,81.46,85,2022,07
"rayong","2022-08",27.43,11.74,82.03,82,2022,08
"rayong","2022-09",26.99,11.55,84.16,82,2022,09
"rayong","2022-10",26.75,8.55,80.06,86,2022,10
"rayong","2022-11",26.99,5.86,79.09,88,2022,11
"rayong","2022-12",26.27,0.23,73.29,98,2022,12
"rayong","2023-01",26.09,0.89,74.26,98,2023,01
"rayong","2023-02",26.96,1.81,73.56,96,2023,02
"rayong","2023-03",28.09,0.79,72.15,97,2023,03
"rayong","2023-04",30.02,2.59,71.27,88,2023,04
"rayong","2023-05",29.87,3.24,73.74,87,2023,05
"rayong","2023-06",28.55,7.14,78.97,87,2023,06
"rayong","2023-07",28.23,9.31,80.44,85,2023,07
"rayong","2023-08",28.72,4.73,77.83,89,2023,08
"rayong","2023-09",27.82,13.69,82.96,81,2023,09
"rayong","2023-10",27.50,10.38,83.67,82,2023,10
"rayong","2023-11",27.51,2.46,75.91,93,2023,11
"rayong","2023-12",27.88,1.21,72.88,96,2023,12
"rayong","2024-01",27.95,0.59,71.79,97,2024,01
"rayong","2024-02",28.59,0.97,71.97,97,2024,02
"rayong","2024-03",29.04,1.62,72.84,94,2024,03
"rayong","2024-04",31.01,0.48,66.93,90,2024,04
"rayong","2024-05",29.79,9.66,76.88,80,2024,05
"rayong","2024-06",28.90,6.63,76.89,88,2024,06
"rayong","2024-07",27.77,10.76,82.63,82,2024,07
"rayong","2024-08",28.15,5.32,78.21,89,2024,08
"rayong","2024-09",27.99,7.52,80.52,86,2024,09
"rayong","2024-10",27.41,9.91,82.96,83,2024,10
"rayong","2024-11",28.54,1.66,73.09,95,2024,11
"rayong","2024-12",27.39,0.93,72.10,98,2024,12
"rayong","2025-01",26.68,0.07,72.19,100,2025,01
"rayong","2025-02",27.58,2.95,76.02,93,2025,02
